ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight
10350017,2.0,4,85,23,10,12.4,3.17,32,2.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1983.0,2.0,2.0,3.0,3.0,7000.0,7.0,2,2,1,2,2,2.0,0.0,4.54,3.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,1.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,7,1,1,4,1,5.0,2,4.0,1.0,1.0,4.0,1,30.0,1,52.0,3.0,255.0,1,27.0,0.000378621
10350075,1.0,3,107,21,31,24.0,2.36,23,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,29.0,2.0,2.0,1947.0,2.0,2.0,2.0,4.0,3250.0,3.0,2,2,2,2,2,1.0,24.0,3.38,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,7,1,1,4,1,5.0,1,3.0,2.0,2.0,1.0,1,25.0,1,55.0,4.0,30.0,1,63.0,0.000367986
10350085,1.0,5,190,116,18,10.8,1.16,14,3.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,22.0,4.0,1.0,1953.0,2.0,3.0,1.0,6.0,7000.0,3.0,2,2,2,2,2,1.0,10.8,1.66,1.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,6.0,6.0,6.0,5.0,1.0,5.0,3.0,1.0,6.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,7,1,1,4,1,6.0,2,2.0,1.0,2.0,3.0,1,12.5,1,56.0,4.0,20.0,1,57.0,0.000409116
10350086,1.0,4,116,38,29,9.6,1.89,20,3.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,4.0,22.0,4.0,2.0,1952.0,2.0,3.0,4.0,6.0,7000.0,3.0,2,2,2,2,2,2.0,9.6,2.71,2.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,7,1,1,4,1,5.0,2,1.0,2.0,2.0,3.0,1,19.0,1,49.0,4.0,30.0,1,58.0,0.000367986
10350100,4.0,1,20,1,5,3.0,1.14,9,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,38.0,4.0,1.0,1930.0,1.0,1.0,9.0,3.0,7000.0,4.0,1,2,2,2,2,1.0,2.2,1.63,2.0,4.0,4.0,4.0,2.0,2.0,6.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,6.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,6.0,6.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,7,1,1,4,1,3.0,1,3.0,2.0,2.0,1.0,1,13.0,1,14.0,4.0,10.0,1,80.0,0.000202325
10350120,4.0,4,116,26,34,24.8,4.87,33,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,25.0,5.0,2.0,1946.0,2.0,2.0,9.0,2.0,9000.0,4.0,1,2,2,2,2,1.0,12.4,6.98,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,7,1,1,4,1,5.0,2,3.0,2.0,2.0,3.0,1,45.0,1,56.0,5.0,30.0,1,64.0,9.82e-05
10350125,4.0,1,35,15,4,4.8,0.69,9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,4.8,0.99,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,1.0,2.0,2.0,3.0,1,7.0,1,16.0,4.0,15.0,1,68.0,0.000288998
10350125,11.0,0,11,10,0,2.2,0.13,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,2.2,0.19,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,1.0,2.0,2.0,3.0,1,1.0,1,1.0,4.0,7.0,1,68.0,0.000288998
10350133,1.0,3,92,35,8,11.0,2.71,27,2.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,29.0,2.0,1.0,1951.0,2.0,2.0,1.0,6.0,3250.0,3.0,2,2,2,2,2,1.0,11.0,3.88,2.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,7,1,1,4,1,6.0,2,4.0,2.0,2.0,4.0,1,27.0,1,49.0,4.0,60.0,1,59.0,0.000409116
10350197,1.0,5,124,36,24,11.0,2.44,22,2.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,6.0,1.0,1980.0,2.0,2.0,1.0,2.0,15000.0,8.0,2,2,1,2,2,1.0,0.0,3.5,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,7,1,1,4,1,5.0,2,3.0,3.0,1.0,3.0,1,26.0,1,64.0,1.0,24.0,1,30.0,0.000378621
